// Description of how to configure properties.
//  EwsEditor will read in a csv file such as this in order to import extended properties.  The form for this CSV is not conventional as
//  it allows blank lines and comments (lines starting with "//".
//  Lines starting with a two forward slashes (//) or are blank are ignored 
// The first non-ignored line needs to be the header
 
// Columns:
//		DescPropertyName:
//			This will be used as the description of the data.  This is the user readable value.
//		ProbablePropertyName:
//				This is the name of the property or what you think it is.  This is informational only.
//		PropertySetId:
//			This is the property set guid. You can use Property set names such as PSETID_Meeting - EWS will swap it for 
//			the GUID at run time. If you don't need the GUID for the property then just enter "" for the value.
//
//				Area Name			Property Set Name			GUID
//				Common				PS_PUBLIC_STRINGS	 		00020329-0000-0000-C000-000000000046 
//				Common				PSETID_Common				00062008-0000-0000-C000-000000000046
//				Contact				PSETID_Address				00062004-0000-0000-C000-000000000046
//				Email				PS_INTERNET_HEADERS			00020386-0000-0000-C000-000000000046
//
//				Calendar			PSETID_Appointment			00062002-0000-0000-C000-000000000046
//				Calendar			PSETID_Meeting				6ED8DA90-450B-101B-98DA-00AA003F1305
//				Journal				PSETID_Log					0006200A-0000-0000-C000-000000000046
//				Messaging			PSETID_Messaging			41F28F13-83F4-4114-A584-EEDB5A6B0BFF
//
//				Sticky note			PSETID_Note					0006200E-0000-0000-C000-000000000046
//				RSS feed			PSETID_PostRss				00062041-0000-0000-C000-000000000046
//				Task				PSETID_Task					00062003-0000-0000-C000-000000000046
//				Unified messaging	PSETID_UnifiedMessaging		4442858E-A9E3-4E80-B900-317A210CC15B 
//
//				Common				PS_MAPI						00020328-0000-0000-C000-000000000046
//				Sync				PSETID_AirSync				71035549-0739-4DCB-9163-00F0580DBBDF
//				Sharing				PSETID_Sharing				00062040-0000-0000-C000-000000000046
//				Extracted entities	PSETID_XmlExtractedEntities	23239608-685D-4732-9C55-4C95CB4E8E33 
//
//				Calendar Assistant?	PSETID_CalendarAssistant	11000E07-B51B-40D6-AF21-CAA85EDAB1D0
//
//		PropertyDefinitionType
//		
//		PropertyType:
//		 	 	
//				SystemTime	 	
//				String		 	
//				Integer
//				Long
//				Boolean		 		
//				Binary,
//				Short			
//
//		PropertyId:
//			If you prefix a property id with "0x" (upper or lower case) then the value is handled as a hex value.  Without this prefix the 
//			value is treated as a decimal value.  A tag with the type included is not supported in EWS Editor yet - types and Id values need to be 
//          sepertate values.
//
//
 	
 
"DescPropertyName",							"ProbablePropertyName",					"PropertySetId",			"PropertyId",		"PropertyType" 
PidLidDayOfMonth,							PidLidDayOfMonth,						PSETID_Common,								0x00001000,		Integer                    
PidLidDelegateMail,							PidLidDelegateMail,						PSETID_Meeting,								0x00000009,		Boolean                    
PidLidDepartment,							PidLidDepartment,						PSETID_Address,								0x00008010,		String                    
PidLidDirectory,							PidLidDirectory,						PSETID_Appointment,							0x00008242,    String                    
PidLidDistributionListChecksum,				PidLidDistributionListChecksum,			PSETID_Address,								0x0000804C,    Integer                    
//PidLidDistributionListMembers,			PidLidDistributionListMembers,			PSETID_Address,								0x00008055,    BinaryArray                    
PidLidDistributionListName,					PidLidDistributionListName,				PSETID_Address,								0x00008053,    String                    
//PidLidDistributionListOneOffMembers,		PidLidDistributionListOneOffMembers,    PSETID_Address,								0x00008054,    BinaryArray                    
PidLidDistributionListStream,				PidLidDistributionListStream,			PSETID_Address,								0x00008064,    Binary                   
PidLidEmail1AddressType,					PidLidEmail1AddressType,				PSETID_Address,								0x00008082,    String                    
PidLidEmail1DisplayName,    				PidLidEmail1DisplayName,				PSETID_Address,								0x00008080,    String                    
PidLidEmail1EmailAddress,    				PidLidEmail1EmailAddress,				PSETID_Address,								0x00008083,    String                    
PidLidEmail1EmailType,    					PidLidEmail1EmailType,					PSETID_Address,								0x00008087,    String                    
PidLidEmail1OriginalDisplayName,			PidLidEmail1OriginalDisplayName,		PSETID_Address,								0x00008084,    String                    
PidLidEmail1OriginalEntryId,    			PidLidEmail1OriginalEntryId,			PSETID_Address,								0x00008085,    Binary                   
PidLidEmail2AddressType,   					PidLidEmail2AddressType,				PSETID_Address,								0x00008092,    String                    
PidLidEmail2DisplayName,    				PidLidEmail2DisplayName,				PSETID_Address,								0x00008090,    String                    
PidLidEmail2EmailAddress,    				PidLidEmail2EmailAddress,				PSETID_Address,								0x00008093,    String                    
PidLidEmail2EntryId,    					PidLidEmail2EntryId,    				PSETID_Address,								0x00008091,    Binary                    
PidLidEmail2OriginalDisplayName,			PidLidEmail2OriginalDisplayName,		PSETID_Address,								0x00008094,    String                    
PidLidEmail2OriginalEntryId,    			PidLidEmail2OriginalEntryId,			PSETID_Address,								0x00008095,    Binary                    
PidLidEmail3AddressType,    				PidLidEmail3AddressType,				PSETID_Address,								0x000080A2,    String                    
PidLidEmail3DisplayName,    				PidLidEmail3DisplayName,				PSETID_Address,								0x000080A0,    String                    
PidLidEmail3EmailAddress,    				PidLidEmail3EmailAddress,				PSETID_Address,								0x000080A3,    String                    
PidLidEmail3EntryId,    					PidLidEmail3EntryId,					PSETID_Address,								0x000080A1,    Binary                    
PidLidEmail3OriginalDisplayName,			PidLidEmail3OriginalDisplayName,		PSETID_Address,								0x000080A4,    String                    
PidLidEmail3OriginalEntryId,				PidLidEmail3OriginalEntryId,			PSETID_Address,								0x000080A5,    Binary                    
//PidLidEmailList,    						PidLidEmailList,						PSETID_Address,								0x00008027,    IntegerArray                    
PidLidEndRecurrenceDate,    				PidLidEndRecurrenceDate,				PSETID_Meeting,								0x0000000F,    Integer                    
